,序号,标题,链接,导演,评分,评价人数,简介
83,84,心灵捕手,https://movie.douban.com/subject/1292656/,导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...,9.0,757182人评价,人生中应该拥有这样的一段豁然开朗。
84,85,超脱,https://movie.douban.com/subject/5322596/,导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...,9.0,651630人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
85,86,低俗小说,https://movie.douban.com/subject/1291832/,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...,8.9,882294人评价,故事的高级讲法。
86,87,摩登时代,https://movie.douban.com/subject/1294371/,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...,9.3,319012人评价,大时代中的人生，小人物的悲喜。
87,88,春光乍泄,https://movie.douban.com/subject/1292679/,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,9.0,663684人评价,爱情纠缠，男女一致。
88,89,海豚湾,https://movie.douban.com/subject/3442220/,导演: 路易·西霍尤斯 Louie Psihoyos   主演: 路易·西霍尤斯 Louie Psihoyo...,9.3,367507人评价,海豚的微笑，是世界上最高明的伪装。
89,90,喜剧之王,https://movie.douban.com/subject/1302425/,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...,8.8,1015891人评价,我是一个演员。
90,91,美国往事,https://movie.douban.com/subject/1292262/,导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...,9.2,436025人评价,往事如烟，无处祭奠。
91,92,致命ID,https://movie.douban.com/subject/1297192/,导演: 詹姆斯·曼高德 James Mangold   主演: 约翰·库萨克 John Cusack / 雷...,8.9,872728人评价,最不可能的那个人永远是最可能的。
92,93,杀人回忆,https://movie.douban.com/subject/1300299/,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,8.9,762836人评价,关于连环杀人悬案的集体回忆。
93,94,哈利·波特与密室,https://movie.douban.com/subject/1296996/,导演: Chris Columbus   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,8.9,810801人评价,魔法的密室之门已打开...
94,95,红辣椒,https://movie.douban.com/subject/1865703/,导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...,9.1,506084人评价,梦的勾结。
95,96,加勒比海盗,https://movie.douban.com/subject/1298070/,导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...,8.8,901991人评价,约翰尼·德普的独角戏。
96,97,七宗罪,https://movie.douban.com/subject/1292223/,导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...,8.8,983165人评价,警察抓小偷，老鼠玩死猫。
97,98,一一,https://movie.douban.com/subject/1292434/,导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,9.1,431996人评价,我们都曾经是一一。
98,99,狩猎,https://movie.douban.com/subject/6985810/,导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...,9.1,420031人评价,人言可畏。
99,100,唐伯虎点秋香,https://movie.douban.com/subject/1306249/,导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,8.7,1135587人评价,华太师是黄霑，吴镇宇四大才子之一。
100,101,7号房的礼物,https://movie.douban.com/subject/10777687/,导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,8.9,583180人评价,《我是山姆》的《美丽人生》。
101,102,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...,8.8,732421人评价,以戏谑来戏谑戏谑。
102,103,蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,8.9,759079人评价,诺兰就是保证。
103,104,甜蜜蜜,https://movie.douban.com/subject/1305164/,导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,8.9,602632人评价,相逢只要一瞬间，等待却像是一辈子。
104,105,爱在黎明破晓前,https://movie.douban.com/subject/1296339/,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,8.8,725941人评价,缘分是个连绵词，最美不过一瞬。
105,106,请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,导演: 卢卡·瓜达尼诺 Luca Guadagnino   主演: 艾米·汉莫 Armie Hammer / ...,8.8,763471人评价,沉醉在电影的情感和视听氛围中无法自拔。
106,107,第六感,https://movie.douban.com/subject/1297630/,导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...,8.9,586453人评价,深入内心的恐怖，出人意料的结局。
107,108,超能陆战队,https://movie.douban.com/subject/11026735/,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   主演: 斯科特...,8.8,1066803人评价,Balalala~~~
108,109,入殓师,https://movie.douban.com/subject/2149806/,导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...,8.9,699941人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
109,110,重庆森林,https://movie.douban.com/subject/1291999/,导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,8.8,855480人评价,寂寞没有期限。
110,111,断背山,https://movie.douban.com/subject/1418834/,导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,8.8,735337人评价,每个人心中都有一座断背山。
111,112,剪刀手爱德华,https://movie.douban.com/subject/1292370/,导演: 蒂姆·波顿 Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...,8.7,1070862人评价,浪漫忧郁的成人童话。
112,113,幽灵公主,https://movie.douban.com/subject/1297359/,导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...,8.9,553104人评价,人与自然的战争史诗。
113,114,寄生虫,https://movie.douban.com/subject/27010768/,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...,8.8,1440913人评价,
114,115,勇敢的心,https://movie.douban.com/subject/1294639/,导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,8.9,576832人评价,史诗大片的典范。
115,116,爱在日落黄昏时,https://movie.douban.com/subject/1291990/,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,8.9,595753人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
116,117,菊次郎的夏天,https://movie.douban.com/subject/1293359/,导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,8.9,627002人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
117,118,借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木...,8.9,584319人评价,曾经的那段美好会沉淀为一辈子的记忆。
118,119,未麻的部屋,https://movie.douban.com/subject/1395091/,导演: 今敏 Satoshi Kon   主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,9.1,374223人评价,好的剧本是，就算你猜到了结局也猜不到全部。
119,120,消失的爱人,https://movie.douban.com/subject/21318488/,导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,8.7,1004336人评价,年度最佳date movie。
120,121,无人知晓,https://movie.douban.com/subject/1292337/,导演: 是枝裕和 Hirokazu Koreeda   主演: 柳乐优弥 Yûya Yagira / 北浦爱...,9.1,341386人评价,我的平常生活就是他人的幸福。
121,122,时空恋旅人,https://movie.douban.com/subject/10577869/,导演: 理查德·柯蒂斯 Richard Curtis   主演: 多姆纳尔·格里森 Domhnall Gl...,8.8,719077人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
122,123,阳光灿烂的日子,https://movie.douban.com/subject/1291875/,导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,8.8,644134人评价,一场华丽的意淫。
123,124,完美的世界,https://movie.douban.com/subject/1300992/,导演: 克林特·伊斯特伍德 Clint Eastwood   主演: 凯文·科斯特纳 Kevin Cos...,9.1,333277人评价,坏人的好总是比好人的好来得更感人。
124,125,倩女幽魂,https://movie.douban.com/subject/1297447/,导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,8.8,770449人评价,两张绝世的脸。
125,126,天使爱美丽,https://movie.douban.com/subject/1292215/,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...,8.7,980328人评价,法式小清新。
126,127,小森林 夏秋篇,https://movie.douban.com/subject/25814705/,导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,9.0,443867人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
127,128,哈利·波特与火焰杯,https://movie.douban.com/subject/1309055/,导演: 迈克·内威尔 Mike Newell   主演: 丹尼尔·雷德克里夫 Daniel Radclif...,8.8,707801人评价,
128,129,侧耳倾听,https://movie.douban.com/subject/1297052/,导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...,8.9,488396人评价,少女情怀总是诗。
129,130,驯龙高手,https://movie.douban.com/subject/2353023/,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...,8.8,793895人评价,和谐的生活离不开摸头与被摸头。
130,131,茶馆,https://movie.douban.com/subject/1461403/,导演: 谢添 Tian Xie   主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,9.6,169653人评价,
131,132,幸福终点站,https://movie.douban.com/subject/1292274/,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...,8.8,599946人评价,有时候幸福需要等一等。
132,133,教父3,https://movie.douban.com/subject/1294240/,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,9.0,396645人评价,任何信念的力量，都无法改变命运。
133,134,一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,导演: 汉内斯·赫尔姆 Hannes Holm   主演: 罗夫·拉斯加德 Rolf Lassgård...,8.9,515315人评价,惠及一生的美丽。
134,135,怪兽电力公司,https://movie.douban.com/subject/1291579/,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约...,8.8,711974人评价,不要给它起名字，起了名字就有感情了。
135,136,新世界,https://movie.douban.com/subject/10437779/,导演: 朴勋政 Hoon-jung Park   主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,8.9,475178人评价,要做就做得狠一点，这样才能活下去。
136,137,傲慢与偏见,https://movie.douban.com/subject/1418200/,导演: 乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley / 马修·...,8.7,847030人评价,爱是摈弃傲慢与偏见之后的曙光。
137,138,玩具总动员3,https://movie.douban.com/subject/1858711/,导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,8.9,547530人评价,跨度十五年的欢乐与泪水。
138,139,小森林 冬春篇,https://movie.douban.com/subject/25814707/,导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,9.0,395480人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
139,140,萤火之森,https://movie.douban.com/subject/5989818/,导演: 大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...,8.9,568084人评价,触不到的恋人。
140,141,被解救的姜戈,https://movie.douban.com/subject/6307447/,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 杰米·福克斯 Jamie Foxx /...,8.8,641300人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。
141,142,釜山行,https://movie.douban.com/subject/25986180/,导演: 延尚昊 Sang-ho Yeon   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,8.6,1258349人评价,揭露人性的丧尸题材力作。
142,143,神偷奶爸,https://movie.douban.com/subject/3287562/,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   主演: ...,8.7,984937人评价,Mr. I Don't Care其实也有Care的时候。
143,144,色，戒,https://movie.douban.com/subject/1828115/,导演: 李安 Ang Lee   主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,8.7,871986人评价,假戏真情，爱欲深海
144,145,九品芝麻官,https://movie.douban.com/subject/1297518/,导演: 王晶 Jing Wong   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,8.7,725062人评价,
145,146,哪吒闹海,https://movie.douban.com/subject/1307315/,导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan   主演: 梁正晖 Zhenghui ...,9.2,274301人评价,想你时你在闹海。
146,147,告白,https://movie.douban.com/subject/4268598/,导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...,8.8,698556人评价,没有一人完全善，也没有一人完全恶。
147,148,玛丽和马克思,https://movie.douban.com/subject/3072124/,导演: 亚当·艾略特 Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利...,9.0,434861人评价,你是我最好的朋友，你是我唯一的朋友 。
148,149,喜宴,https://movie.douban.com/subject/1303037/,导演: 李安 Ang Lee   主演: 赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...,9.0,388988人评价,中国家庭的喜怒哀乐忍。
149,150,头脑特工队,https://movie.douban.com/subject/10533913/,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,8.8,667780人评价,愿我们都不用长大，每一座城堡都能永远存在。
150,151,大鱼,https://movie.douban.com/subject/1291545/,导演: 蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,8.8,592067人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
151,152,模仿游戏,https://movie.douban.com/subject/10463953/,导演: 莫滕·泰杜姆 Morten Tyldum   主演: 本尼迪克特·康伯巴奇 Benedict C...,8.8,678348人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
152,153,头号玩家,https://movie.douban.com/subject/4920389/,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 泰伊·谢里丹 Tye Sheri...,8.6,1424592人评价,写给影迷，动漫迷和游戏迷的一封情书。
153,154,花样年华,https://movie.douban.com/subject/1291557/,导演: 王家卫 Kar Wai Wong   主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,8.8,648959人评价,偷情本没有这样美。
154,155,射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,8.7,670381人评价,百看不厌。
155,156,七武士,https://movie.douban.com/subject/1295399/,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 志村乔 ...,9.3,210254人评价,时代悲歌。
156,157,我是山姆,https://movie.douban.com/subject/1306861/,导演: 杰茜·尼尔森 Jessie Nelson   主演: Sean Penn / Dakota Fanning / Mi...,9.0,353672人评价,爱并不需要智商 。
157,158,血战钢锯岭,https://movie.douban.com/subject/26325320/,导演: 梅尔·吉布森 Mel Gibson   主演: 安德鲁·加菲尔德 Andrew Garfield /...,8.7,812276人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
158,159,惊魂记,https://movie.douban.com/subject/1293181/,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock   主演: 安东尼·博金斯 Antho...,9.0,318779人评价,故事的反转与反转，分裂电影的始祖。
159,160,阳光姐妹淘,https://movie.douban.com/subject/4917726/,导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,8.8,608198人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。
160,161,恐怖直播,https://movie.douban.com/subject/21360417/,导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,8.7,684114人评价,恐怖分子的“秋菊打官司”。
161,162,黑客帝国3：矩阵革命,https://movie.douban.com/subject/1302467/,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,8.8,466644人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
162,163,你的名字。,https://movie.douban.com/subject/26683290/,导演: 新海诚 Makoto Shinkai   主演: 神木隆之介 Ryûnosuke Kamiki / 上...,8.5,1474230人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
163,164,三块广告牌,https://movie.douban.com/subject/26611804/,导演: 马丁·麦克唐纳 Martin McDonagh   主演: 弗兰西斯·麦克多蒙德 France...,8.7,860059人评价,怼天怼地，你走后，她与世界为敌。
164,165,电锯惊魂,https://movie.douban.com/subject/1417598/,导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...,8.7,564996人评价,真相就在眼前。
